Field,Is Mandatory,Type,Values,Validation,,,,,,,,,,,,,,,,,,,,,
Fuente,Yes,Drop down,"agencia_cygnus
agencia_bbn
agencia_peoplecare
agencia_hq
agencia_stoneway",,,,,,,,,,,,,,,,,,,,,,
Puesto,Yes,Drop down,"Auxiliar de Administración
Auxiliar General
Auxiliar General de Perecederos
Chofer Repartidor
Mecánico
Operador de Equipos de Carga
Recibidor de Mercancía
Jefatura Administrativa
Jefatura de Calidad
Jefatura de Operaciones de Logística
Jefatura de Seguridad
Jefatura de Transportes
Jefatura de trato con proveedores
Subgerencia en Entrenamiento",,,,,,,,,,,,,,,,,,,,,,
Ubicación,Yes,Drop down,"Cedis ecommerce Walmart México
Cedis Walmart BAE Sur - VESTA
Cedis Walmart Chalco
Cedis Walmart Chihuahua
Cedis Walmart Cuautitlán
Cedis Walmart ecommerce Guadalajara
Cedis Walmart Guadalajara
Cedis Walmart Merida
Cedis Walmart Mexicali
Cedis Walmart San Martin Obispo
Cedis Walmart Santa Bárbara
Centro de Distribucion Walmart Villahermosa
Planta de Carnes Walmart Cuautitlán
Walmart - CEDIS Monterrey
Walmart Culiacan Cedis
Walmart eCommerce MTY",,,,,,,,,,,,,,,,,,,,,,
PMX,Yes,Free text,Alphanumeric identifier,REGEX pattern for alphanumeric format: PMX + 8 digits,,,,,,,,,,,,,,,,,,,,,
Nombre(s),Yes,Free text,"Letters, spaces and accents","Blocks special characters like &""|?'",,,,,,,,,,,,,,,,,,,,,
Apellido paterno,Yes,Free text,"Letters, spaces and accents","Blocks special characters like &""|?'",,,,,,,,,,,,,,,,,,,,,
Apellido materno,No,Free text,"Letters, spaces and accents","Blocks special characters like &""|?'",,,,,,,,,,,,,,,,,,,,,
Fecha de nacimiento,Yes,Date,"DD/MM/AAAA, D/M/AAAA or similar format","Date format validation, after 1945, before today. Checks if candidate is not a minor",,,,,,,,,,,,,,,,,,,,,
Correo electrónico,Yes,Email,ejemplo@dominio.com,Email format validation,,,,,,,,,,,,,,,,,,,,,
Número de teléfono,Yes,Phone number,10 digits,REGEX validation of exactly 10 digits,,,,,,,,,,,,,,,,,,,,,
Género,Yes,Drop down,"H, M, X",,,,,,,,,,,,,,,,,,,,,,
Nacionalidad,Yes,Drop down,"México
Guatemala
Venezuela
Colombia
Honduras
Cuba
El Salvador
Argentina
Haití
Nicaragua
Perú
Ecuador
República Dominicana
Brasil
España
Estados Unidos
China
India
Egipto
Irán
Turquía
Canadá",,,,,,,,,,,,,,,,,,,,,,
Calle y número de la vivienda,Yes,Free text,"Letters, numbers and symbols like #, -, /.","REGEX pattern, minimum 5 characters",,,,,,,,,,,,,,,,,,,,,
Número interior,No,Free text,"Letters, numbers and symbols like #, -, /.",,,,,,,,,,,,,,,,,,,,,,
Colonia,Yes,Free text,"Letters, numbers and symbols like #, -, /.","REGEX pattern, minimum 3 characters",,,,,,,,,,,,,,,,,,,,,
Municipio,Yes,Drop down,List of municipalities,,,,,,,,,,,,,,,,,,,,,,
Estado,Yes,Drop down,32 mexican states,,,,,,,,,,,,,,,,,,,,,,
